split,Latitude,Longitude
팔거교교차로,35.9587070,128.5539685
칠곡우체국사거리,35.9470162,128.5511993
칠곡네거리,35.9328164,128.5484479
태전삼거리,35.9201512,128.5465318
팔달교,35.8965224,128.5494772
만평네거리,35.8896552,128.5623089
평리네거리,35.8790452,128.554921
신평리네거리,35.8704351,128.5549213
두류네거리,35.8579089,128.5574769
두류네거리(북),35.8579089,128.5574769
두류공원네거리,35.8472435,128.5577828
두류네거리(남),35.8579089,128.5574769
성당네거리,35.8367364,128.5577961
월촌역네거리,35.8237183,128.545479
상인네거리,35.818956,128.537865
진천역네거리,35.8141090,128.5239293
유천교네거리,35.8107193,128.5157878
화원삼거리,35.8033309,128.4976508
진천남네거리,35.8089142,128.5270645
월곡네거리,35.8085085,128.5480805
앞산빨래터공원앞,35.8320725,128.5656434
충혼탑앞,35.833024,128.585138
중동교,35.8412579,128.607221
상동교네거리,35.833414,128.6116942
중동교남단,35.8412579,128.607221
신천교남단(남),35.8736232,128.6119662
동신교남,35.8725122,128.60349
도청교남단,36.2782268,127.3986303
침산교남단(북),35.8942836,128.5883215
매천대교남단(지하),35.8932099,128.5421441
팔달교(입구),35.8964,128.5674
월성주공APT,35.8332968,128.5255944
성서IC,35.8476039,128.5228416
중동교북단,35.8412579,128.607221
상동교북단,35.8345515,128.6063619
수성교북단,35.8614927,128.6088609
신천교북단,35.8736232,128.6119662
경대교북단,35.886323,128.6014998
침산교북단,35.8942836,128.5883215
신당네거리,35.851474,128.491956
성서네거리,35.851824,128.50635
신남네거리,35.865051,128.582911
반고개네거리,35.862391,128.573355
수성네거리,35.8596598,128.6176101
범어네거리,35.8591044,128.6261927
호림네거리,35.8349382,128.4920115
성서공단네거리,35.8355773,128.5073434
남대구IC삼거리,35.8370497,128.5275915
감천네거리,35.8372442,128.5307578
본리네거리,35.8374665,128.5369517
칠곡우체국,35.9470162,128.5511993
칠곡IC 네거리,35.933955,128.5406986
매천초교앞,35.9135983,128.5422755
이현삼거리,35.8787305,128.5399374
서대구공단네거리,35.8684740,128.5378031
죽전네거리,35.8501317,128.5372569
상인네거리(고가),35.818956,128.537865
앞산네거리,35.8400781,128.5798642
현충삼거리,35.8326345,128.5795033
영대병원네거리,35.8453277,128.590502
복현오거리,35.8976552,128.6149982
공항교,35.9002385,128.6276358
불로삼거리,37.6155028,126.6856207
매천대교남단(지상),35.8932099,128.5421441
롯데몰서편삼거리,35.5171905,129.3407106
학정2교,35.9549256,128.5660200
팔거교,35.9587070,128.5539685
태전네거리,35.9335082,128.5460817
도곡네거리,35.9280987,128.5992674
명덕네거리,35.858145,128.591241
비산네거리,35.8722685,128.5711141
원대오거리,35.8876001,128.5759188
성북교교차로,35.8929609,128.5930004
달성네거리,35.876815,128.587437
북비산네거리,35.8795732,128.5713362
서변교네거리,35.9158106,128.5972259
산격대교네거리,35.9083203,128.6004159
산격중학교삼거리,35.900309,128.6054241
공산수원지삼거리,35.9444175,128.6470784
큰고개오거리,35.8855459,128.6330524
노원네거리,35.8996671,128.5791456
파군재삼거리,35.9364844,128.6437999
파계교교차로,35.9415393,128.6377726
이시아폴리스삼거리,35.9217665,128.6369211
입석네거리,35.8919897,128.6436067
동촌초등삼거리,35.8820745,128.6589389
경대교교차로,35.886323,128.6014998
현대은하맨션삼거리,36.1148542,128.3478349
효목네거리,35.8765749,128.6449959
반야월삼거리,35.8742705,128.6880753
용호삼거리,,
각산네거리,35.872049,128.7137674
율하역,35.869577,128.693037
반야월네거리,35.865969,128.713561
송정삼거리,36.1148542,128.3478349
연호네거리,35.8461624,128.6726886
범안삼거리,35.8340527,128.6708003
담티고개고가차도,35.8531891,128.6610229
들안길네거리,35.8350420,128.6166607
황금네거리,35.8398289,128.6239989
궁전맨션삼거리,35.8544106,128.6274982
청구네거리,35.8677977,128.6183876
동신교상단,35.8681587,128.6141658
파티마삼거리,35.883296,128.6239422
공고네거리,35.8811294,128.6140821
동침산네거리,35.8881837,128.5915562
연암사거리,35.5758456,129.3630508
침산네거리,35.8881837,128.5915562
남침산네거리,35.8834064,128.590112
고성네거리,35.8850727,128.5818628
월성네거리,35.8261066,128.5297582
월성교삼거리,35.8211569,128.4925387
강창교동편삼거리,35.8530871,128.4779932
문화대삼거리,35.8601741,128.4955092
서재초교삼거리,35.8715629,128.4964331
와룡네거리,35.8587695,128.537451
계명네거리,35.856354,128.5828635
건들바위네거리,35.855521,128.5982787
남구청네거리,35.8450699,128.5981612
봉산육거리,35.8639367,128.5994728
수성교남단(남),35.8614927,128.6088609
반월당네거리,35.864592,128.593334
동인네거리,35.8725122,128.60349
교동네거리,35.8737967,128.6013335
공평네거리,35.8700193,128.6003059
서성사거리,35.8736403,128.5836118
계산오거리,36.1184183,128.1185011
연암네거리,35.5758456,129.3630508
침산교남단(남),35.8942836,128.5883215
침산교북,35.8942836,128.5883215
태평네거리,35.8764195,128.5881603
대구역네거리,37.5629892,126.9763563
들안길삼거리,35.8296911,128.6167499
두산교(상동사거리서편),35.8345029,128.6066077
MBC네거리,35.8669646,128.6267757
두산오거리,35.8301079,128.6232215
범물네거리,35.8211648,128.6395813
지산삼거리,35.8272752,128.6441641
관계삼거리,35.8188875,128.6496638
신천지네거리,36.3205056,127.4573746
효신네거리,35.8720475,128.6351914
동원초등네거리,35.8496041,128.5468948
동대구역네거리,35.8766579,128.6261922
효목고가입구,35.8857365,128.6330645
무열대네거리,35.8698186, 28.6489334
대봉교,35.855004,128.606347
두산교,35.8345029,128.6066077
칠곡로네거리,35.93306977165955,128.54849785793775 
서성네거리,35.8700746,128.5872516
용산우체국사거리,35.85876080820488,128.53060659091778
구암네거리,35.9313169,128.5615023
신천네거리,35.8746302,128.6175819
들안길사거리,35.840397980614,128.61674505600746
신천사거리,35.87444396246512,128.61768578782326 
충혼탑,35.83306698960327,128.5836021371169
용산우체국네거리,35.85870189503935,128.53063313306882
유니버스아드레포츠센터사거리,35.92752887433485,128.59892891573517
서변교사거리,35.9100928441057,128.5859501284302
화원IC교차로,35.800331,128.4791804
청소년수련원(서),35.84434950164586,128.6315759034978
수성네거리,35.8596598,128.6176101
궁전맨션삼거리,35.8544106,128.6274982
대봉교,35.855004,128.606347
매천대교남단(지하),35.8932099,128.5421441
매천초교앞,35.91344704406287,128.54257648874386
청소년수련원(동),35.82017019442461,128.5512310193953
앞산빨래터,35.8320725,128.5656434
앞산빨래터,35.8320725,128.5656434
청소년수련원(동),35.82017019442461,128.5512310193953
복현네거리,35.8924337,128.6221643
수성구청역,35.858989,128.63056
수목원입구삼거리,35.80393697023401,128.5202863620469
산성사거리,35.69362835449338,128.47381046223532 
ETRI,35.68930771147263, 128.46989779536
포산고사거리,35.689403413521305,128.44693913419994
유가우체국,35.672679,128.448937
신천교남단(북),35.8736232,128.6119662
대봉교남단,35.855004,128.606347
동신교,35.8681587,128.6141658
